Week,Day,Focus,Main Workout,Accessory,Notes
15,Monday,Heavy Lower + Peak,"Back Squat: 3x3 @ RPE 9
Super Set: Leg Press (20 reps) + Cable Rows (15 reps) x 3 Rounds",-,Peak intensity.
15,Tuesday,Threshold Intervals,"Run: 10m Warmup
Intervals: 2 x 15 mins @ Threshold (Rest 4m)",Core,Mental toughness.
15,Wednesday,Upper + Z2,"Push Press: 5x3 (Heavy)
Weighted Pull-Ups: 5x3",45 mins Zone 2,Power.
15,Thursday,F45 + Buy Out,F45 Class,75 Wall Balls (Unbroken attempt),Capacity test.
15,Friday,Unilateral + Skill,"Bulgarian Split Squats: 3x6
Accessory Arms",EMOM 12: 6 Burpee Broad Jumps,Tapering volume.
15,Saturday,Compromised Run,"Long Sandwich:
40 mins Run
100 Wall Balls
20 mins Run",Mobility,Running on jelly legs.
15,Sunday,Rest,Full Rest,-,-
16,Monday,Deload Lower,"Back Squat: 3x5 @ Light
Leg Press: Light pumping",Mobility,Recovery.
16,Tuesday,Deload Run,30 mins Easy Run,-,Shake out.
16,Wednesday,Deload Upper,Bodyweight Flow,30 mins Bike,Recovery.
16,Thursday,Mobility / Yoga,Yoga Class or 45 min stretch,-,Deep release.
16,Friday,Pre-Test Shakeout,"10 min Jog, 5 Burpees, 10 Squats",-,Priming.
16,Saturday,Benchmark Test,5k Run Time Trial,Record Time,Baseline for Phase 3.
16,Sunday,Rest,End of Phase 2,-,Review stats.
